,№слитка-индекс-часть,"кол. в садке, шт",Температура,нагрев_operation_1,ковка_operation_2,прокат_operation_3,нагрев_operation_4,ковка_operation_5,прокат_operation_6,нагрев_operation_7,ковка_operation_8,прокат_operation_9,нагрев_operation_10,ковка_operation_11,прокат_operation_12,нагрев_operation_13,ковка_operation_14,прокат_operation_15
0,"34-8993-18№1,2",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
1,"34-8993-18№3,4",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
2,"34-8993-18№5,6",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
3,"34-8993-18№7,8",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
4,"34-8993-18№9,10",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
5,"34-8993-18№11,12",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
6,"14153-18 №1,2",2.0,960.0,2.0,0.25,,1.0,0.25,,,,,,,,,,
7,"14153-18 №3,4",2.0,960.0,2.0,0.25,,1.0,0.25,,,,,,,,,,
8,"14153-18 №5,6",2.0,960.0,2.0,0.25,,1.0,0.25,,,,,,,,,,
9,2413-18 часть 1,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
10,2413-18 часть 2,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
11,2373-18 часть 1,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
12,2373-18 часть 2,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
13,34-8903-18слиток,1.0,1100.0,6.0,0.25,,2.0,0.25,,,,,,,,,,
14,2383-18 часть 1,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
15,2383-18 часть 2,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
16,2393-18 часть 1,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
17,2393-18 часть 2,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
18,"15003-18 №1,2",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,
19,"15003-18 №3,4",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,
20,"15003-18 №5,6",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,
21,"15013-18 №1,2",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
22,"15013-18 №3,4",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,
23,"15013-18 №5,6",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,
24,5722-18слиток,1.0,1060.0,5.0,,0.25,,,,,,,,,,,,
25,5742-18слиток,1.0,1060.0,5.0,,0.25,,,,,,,,,,,,
26,2403-18 часть 1,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
27,2403-18 часть 1,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
28,233-18слиток,1.0,940.0,3.0,,0.25,,,,,,,,,,,,
29,235-18слиток,1.0,940.0,3.0,,0.25,,,,,,,,,,,,
30,"34-9003-18№1,2",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
31,"34-9003-18№3,4",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
32,"34-9003-18№5,6",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
33,"34-9003-18№7,8",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
34,"34-9003-18№9,10",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
35,"34-9003-18№11,12",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
36,34-8993-18 №1-6,1.0,750.0,3.0,,,,,,,,,,,,,,
37,2423-18 часть 1,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
38,2423-18 часть 2,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
39,34-15023-18 №1,1.0,950.0,3.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
40,34-15023-18 №3,1.0,950.0,3.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
41,34-15023-18 №5,1.0,950.0,3.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
42,34-8993-18 №7-12,1.0,750.0,3.0,,,,,,,,,,,,,,
43,"34-15033-18 №1,2",2.0,960.0,4.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
44,"34-15043-18 №1,2",2.0,960.0,4.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
45,714-18-1слиток,1.0,960.0,4.0,0.25,,4.0,0.25,,,,,,,,,,
46,714-18-2слиток,1.0,960.0,4.0,0.25,,4.0,0.25,,,,,,,,,,
47,35-15033-18,2.0,960.0,4.0,0.25,,0.0,0.25,,0.0,0.25,,0.0,0.25,,,,
48,35-15043-18,2.0,960.0,4.0,0.25,,0.0,0.25,,0.0,0.25,,0.0,0.25,,,,
49,34-9003-18,2.0,950.0,1.0,0.25,,0.0,0.25,,0.0,0.25,,,,,,,
50,34-9003-18,2.0,950.0,1.0,0.25,,0.0,0.25,,0.0,0.25,,,,,,,
51,34-15023-18,2.0,950.0,3.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
52,34-15023-18,1.0,950.0,3.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
53,714-18-1,1.0,960.0,3.0,0.25,,2.0,0.25,,,,,,,,,,
54,714-18-2,1.0,960.0,3.0,0.25,,2.0,0.25,,,,,,,,,,
55,34-9003-18,2.0,950.0,1.0,0.25,,0.0,0.25,,0.0,0.25,,,,,,,
